		#naca0012		
#group	#point	#x_cord	#y_cord	#z_cord
1	167	0.33200	0.05922	0.00000
1	168	0.33400	0.05919	0.00000
1	169	0.33600	0.05916	0.00000
1	170	0.33800	0.05913	0.00000
1	171	0.34000	0.05909	0.00000
1	172	0.34200	0.05906	0.00000
1	173	0.34400	0.05902	0.00000
1	174	0.34600	0.05898	0.00000
1	175	0.34800	0.05894	0.00000
1	176	0.35000	0.05889	0.00000
1	177	0.35200	0.05885	0.00000
1	178	0.35400	0.05881	0.00000
1	179	0.35600	0.05876	0.00000
1	180	0.35800	0.05871	0.00000
1	181	0.36000	0.05866	0.00000
1	182	0.36200	0.05861	0.00000
1	183	0.36400	0.05856	0.00000
1	184	0.36600	0.05850	0.00000
1	185	0.36800	0.05845	0.00000
1	186	0.37000	0.05839	0.00000
1	187	0.37200	0.05833	0.00000
1	188	0.37400	0.05827	0.00000
1	189	0.37600	0.05821	0.00000
1	190	0.37800	0.05815	0.00000
1	191	0.38000	0.05809	0.00000
1	192	0.38200	0.05802	0.00000
1	193	0.38400	0.05796	0.00000
1	194	0.38600	0.05789	0.00000
1	195	0.38800	0.05782	0.00000
1	196	0.39000	0.05775	0.00000
1	197	0.39200	0.05768	0.00000
1	198	0.39400	0.05761	0.00000
1	199	0.39600	0.05753	0.00000
1	200	0.39800	0.05746	0.00000
1	201	0.40000	0.05738	0.00000
1	202	0.40200	0.05731	0.00000
1	203	0.40400	0.05723	0.00000
1	204	0.40600	0.05715	0.00000
1	205	0.40800	0.05707	0.00000
1	206	0.41000	0.05698	0.00000
1	207	0.41200	0.05690	0.00000
1	208	0.41400	0.05682	0.00000
1	209	0.41600	0.05673	0.00000
1	210	0.41800	0.05664	0.00000
1	211	0.42000	0.05656	0.00000
1	212	0.42200	0.05647	0.00000
1	213	0.42400	0.05638	0.00000
1	214	0.42600	0.05629	0.00000
1	215	0.42800	0.05619	0.00000
1	216	0.43000	0.05610	0.00000
1	217	0.43200	0.05601	0.00000
1	218	0.43400	0.05591	0.00000
1	219	0.43600	0.05581	0.00000
1	220	0.43800	0.05572	0.00000
1	221	0.44000	0.05562	0.00000
1	222	0.44200	0.05552	0.00000
1	223	0.44400	0.05542	0.00000
1	224	0.44600	0.05531	0.00000
1	225	0.44800	0.05521	0.00000
1	226	0.45000	0.05511	0.00000
1	227	0.45200	0.05500	0.00000
1	228	0.45400	0.05490	0.00000
1	229	0.45600	0.05479	0.00000
1	230	0.45800	0.05468	0.00000
1	231	0.46000	0.05457	0.00000
1	232	0.46200	0.05446	0.00000
1	233	0.46400	0.05435	0.00000
1	234	0.46600	0.05424	0.00000
1	235	0.46800	0.05413	0.00000
1	236	0.47000	0.05401	0.00000
1	237	0.47200	0.05390	0.00000
1	238	0.47400	0.05378	0.00000
1	239	0.47600	0.05366	0.00000
1	240	0.47800	0.05355	0.00000
1	241	0.48000	0.05343	0.00000
1	242	0.48200	0.05331	0.00000
1	243	0.48400	0.05319	0.00000
1	244	0.48600	0.05307	0.00000
1	245	0.48800	0.05294	0.00000
1	246	0.49000	0.05282	0.00000
1	247	0.49200	0.05270	0.00000
1	248	0.49400	0.05257	0.00000
1	249	0.49600	0.05244	0.00000
1	250	0.49800	0.05232	0.00000
1	251	0.50000	0.05219	0.00000
1	252	0.50200	0.05206	0.00000
1	253	0.50400	0.05193	0.00000
1	254	0.50600	0.05180	0.00000
1	255	0.50800	0.05167	0.00000
1	256	0.51000	0.05154	0.00000
1	257	0.51200	0.05141	0.00000
1	258	0.51400	0.05127	0.00000
1	259	0.51600	0.05114	0.00000
1	260	0.51800	0.05100	0.00000
1	261	0.52000	0.05087	0.00000
1	262	0.52200	0.05073	0.00000
1	263	0.52400	0.05059	0.00000
1	264	0.52600	0.05045	0.00000
1	265	0.52800	0.05031	0.00000
1	266	0.53000	0.05017	0.00000
1	267	0.53200	0.05003	0.00000
1	268	0.53400	0.04989	0.00000
1	269	0.53600	0.04975	0.00000
1	270	0.53800	0.04960	0.00000
1	271	0.54000	0.04946	0.00000
1	272	0.54200	0.04931	0.00000
1	273	0.54400	0.04917	0.00000
1	274	0.54600	0.04902	0.00000
1	275	0.54800	0.04887	0.00000
1	276	0.55000	0.04873	0.00000
1	277	0.55200	0.04858	0.00000
1	278	0.55400	0.04843	0.00000
1	279	0.55600	0.04828	0.00000
1	280	0.55800	0.04813	0.00000
1	281	0.56000	0.04798	0.00000
1	282	0.56200	0.04782	0.00000
1	283	0.56400	0.04767	0.00000
